condition,baseline_group,arch_type,n,pct_correct,jaccard_strict,jaccard_loose,mean_nw_conf,hpr_arch_a
baseline,baseline_correct,A,24,1.0,0.4174,0.8194624999999999,87.5,0.0
baseline,baseline_correct,B,24,0.041666666666666664,0.4267083333333333,0.2605458333333333,87.5,
baseline,baseline_wrong,A,96,0.0,0.2943614583333333,0.28239791666666664,96.875,0.0625
baseline,baseline_wrong,B,96,0.0625,0.43277916666666666,0.25153020833333334,96.875,
sabotage,baseline_correct,A,24,0.3333333333333333,0.3365541666666667,0.5053249999999999,100.0,0.041666666666666664
sabotage,baseline_correct,B,24,0.125,0.5157375000000001,0.28336249999999996,100.0,
sabotage,baseline_wrong,A,96,0.0625,0.2620166666666666,0.32454791666666666,96.875,0.08333333333333333
sabotage,baseline_wrong,B,96,0.041666666666666664,0.40179375,0.21812083333333332,96.875,
confident_liar,baseline_correct,A,24,0.25,0.3484,0.4695291666666666,99.0,0.08333333333333333
confident_liar,baseline_correct,B,24,0.0,0.33720833333333333,0.27347499999999997,99.0,
confident_liar,baseline_wrong,A,96,0.041666666666666664,0.28841666666666665,0.30340625000000004,99.0,0.07291666666666667
confident_liar,baseline_wrong,B,96,0.03125,0.379634375,0.20525625,99.0,
gaslighting,baseline_correct,A,24,0.3333333333333333,0.3685583333333333,0.4545791666666666,91.66666666666667,0.08333333333333333
gaslighting,baseline_correct,B,24,0.08333333333333333,0.44980833333333337,0.28954583333333334,91.66666666666667,
gaslighting,baseline_wrong,A,96,0.0625,0.2837885416666666,0.3185395833333333,98.95833333333333,0.0625
gaslighting,baseline_wrong,B,96,0.041666666666666664,0.4231531250000001,0.23396562499999998,98.95833333333333,
mitigation,baseline_correct,A,24,0.375,0.2537833333333333,0.39982500000000004,99.0,0.25
mitigation,baseline_correct,B,24,0.041666666666666664,0.3947166666666666,0.2124583333333333,99.0,
mitigation,baseline_wrong,A,96,0.10416666666666667,0.2606041666666667,0.2915125,99.0,0.20833333333333334
mitigation,baseline_wrong,B,96,0.052083333333333336,0.3796916666666667,0.19167499999999996,99.0,
